name,address,postcode,lat,long,web
German Occupation Museum,"Forest, Guernsey, Channel Islands, GY8 0BG",GY8 0BG,,
La Hougue Bie Museum,"La Route de la Hougue Bie, Grouville, Jersey, Channel Islands, JE2 7UA",JE2 7UA,,,www.jerseyheritage.org
Castle Cornet,"Castle Emplacement, St Peter Port, Guernsey, Channel Islands, GY1 1UG",GY1 1UG,,,www.museums.gov.gg
Fort Grey Shipwreck Museum,"Guernsey Museums, Candie Gardens, St Peter Port, Guernsey, GY1 2AX",GY1 2AX,,,www.museums.gov.gg
Guernsey Museum and Art Gallery,"Candie Gardens, St Peter Port, Guernsey, Channel Islands, GY1 1UG",GY1 1UG,,,www.museums.gov.gg
Elizabeth Castle,"St Helier, Jersey, Channel Islands, JE2 3NU",JE2 3NU,,,www.jerseyheritage.org
Jersey Archive,"Clarence Road, St Helier, Jersey, JE2 4JY",JE2 4JY,,,www.jerseyheritage.org
Jersey Museum,"The Weighbridge, St Helier, Jersey, Channel Islands, JE2 3NF",JE2 3NF,,,www.jerseyheritage.org
Maritime Museum and Occupation Tapestry Gallery,"New North Quay, St Helier, Channel Islands, JE2 3ND",JE2 3ND,,,www.jerseyheritage.org
Hamptonne,"Rue de la Patente, St Lawrence, Jersey, JE3 1HS",JE3 1HS,,,www.jerseyheritage.org
Mont Orgueil Castle,"Gorey, St Martin, Jersey, Channel Islands, JE3 6ET",JE3 6ET,,,www.jerseyheritage.org
Ashby de la Zouch Museum,"North Street, Ashby de la Zouch, Leicestershire, LE65 1HU",LE65 1HU,52.7486285982411,-1.4703228986834,ashbymuseum.org.uk
Baysgarth House Museum,"Baysgarth Park, Caistor Road, Barton-on-Humber, North Lincolnshire, DN18 6AH",DN18 6AH,53.6801005514033,-0.437311785358522
Boston Guildhall,"South Street, Boston, Lincolnshire, PE21 6HT",PE21 6HT,52.975996694286,-0.0230701701164213,www.bostonguildhall.co.uk
Buxton Museum and Art Gallery,"Terrace Road, Buxton, Derbyshire, SK17 6DA",SK17 6DA,53.2569205348586,-1.91297621662806,www.derbyshire.gov.uk/leisure/buxton_museum/
Calverton Folk Museum,"Main Street, Calverton, Nottinghamshire, NG14 6FQ",NG14 6FQ,53.03585038648,-1.07953382391418
Hardwick Hall,"Doe Lea, nr Chesterfield, Derbyshire, S44 5QJ",S44 5QJ,53.1669806391003,-1.31002502677073,www.nationaltrust.org.uk
